,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject01,1.700407265,1.619745112,1.555064792,1.56189439,1.596539707,1.555623693,1.749114744,1.564331762,1.634041334,1.223207275,1.564942149,1.782509443,1.872769269,1.437379154,1.782671575,1.532412689,1.671026654,1.630743036,1.576560856,1.908631948,1.53040546,1.762141737,1.190728971,1.559387398,1.655319493,2.029150042,1.655425724,1.898084074,1.957274969,2.056840599,1.891334583,1.949884869,1.734677649,1.931517899,1.290431365,1.303930399,1.643890009,1.765557,1.854814681,2.07151988,1.492846101,1.703021292,1.362644166,1.507204413,1.340228731,1.403731706,1.314182897,1.5715866,1.208980064,1.470348059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject02,1.139065856,1.180938541,1.159025293,1.079342822,1.094406811,1.056233642,1.104381915,1.136397365,1.180826259,0.945597196,1.008715574,1.361695559,1.28263968,1.023092921,1.197073061,1.138666126,1.117878098,1.253239034,1.198942729,1.338471598,1.301271169,1.210645383,1.160952348,1.280038084,1.178305611,1.39304271,1.329278478,1.392721498,1.473784969,1.666191646,1.2876549,1.189084199,1.258723746,1.058561795,0.968220406,0.782015942,1.149288949,1.242250346,1.306305141,1.209088684,1.288731741,1.257080329,1.113510813,1.242838469,1.350215361,1.282852044,1.089466679,1.163837721,1.111608276,1.178781213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject03,1.139376344,1.131319285,1.214347827,1.142128248,1.187559137,1.188186915,1.191800993,1.173122481,1.17041623,0.99702943,1.097816913,1.328974526,1.290968468,1.028342625,1.220775671,1.176713788,1.16190549,1.285293959,1.126260182,1.218489371,1.23801021,1.255173249,1.191558809,1.286091852,1.290437537,1.483545531,1.374484404,1.456768658,1.402987928,1.626111619,1.20538709,1.252202651,1.125155832,1.048591455,1.026211736,0.928923378,1.03442187,1.104905738,1.293213655,1.26644084,1.190650184,1.277262686,1.086142915,1.088590579,1.205835936,1.239503654,0.971368883,0.961960635,1.060108395,1.136350473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject04,1.549225941,1.580593986,1.898779817,1.678800447,1.792659421,1.751673317,1.976290556,1.677135073,1.740025797,1.570805004,1.742907859,2.147350303,2.032780555,1.862474437,2.167972155,1.713544783,1.797996272,2.058230046,1.928434677,2.015190442,1.663405235,1.674988454,1.477991472,1.621414143,1.908305838,2.095475315,2.010810651,2.120126164,2.114692372,2.276790719,1.791766535,1.674024476,1.624492213,1.55581121,1.500225174,1.316053054,1.677818667,1.827845256,1.727871204,1.680504778,1.377961726,1.573507714,1.508834817,1.589446629,1.361190435,1.41247787,1.580158682,1.70611795,1.133262509,1.285257535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject05,1.198121913,1.153737147,1.291808819,1.122393452,1.209015905,1.147465678,1.205108257,1.128736127,1.144061135,1.048798775,1.113496621,1.451059938,1.341317552,1.213376016,1.453888774,1.20807786,1.116161748,1.349690489,1.2803191,1.399151747,1.164106414,1.13106547,1.125476105,1.217594461,1.233642624,1.402105311,1.409411038,1.444978407,1.498592169,1.517682391,1.322375376,1.211999297,1.167823172,1.054816906,1.03489989,0.883266186,1.20548348,1.202446289,1.317196212,1.172240418,1.289021704,1.316216472,1.039568296,1.033620704,1.186694014,1.204145038,1.020864552,1.079807188,1.011039509,1.118453162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject06,1.280869825,1.259821034,1.361907504,1.234873356,1.436028325,1.280924825,1.18675525,1.188677213,1.181732462,0.993457635,1.105513899,1.459993174,1.393992814,1.116925535,1.357927289,1.20358333,1.162113396,1.318190057,1.234710476,1.41348709,1.452590138,1.502611569,1.114223773,1.299389732,1.257591973,1.594026456,1.429542692,1.484813982,1.677620183,1.893296155,1.352626278,1.215827305,1.202729075,0.977804699,0.901768812,0.723220766,1.087673718,1.212942913,1.342373576,1.243583021,1.271191176,1.35015163,1.215817748,1.273595493,1.357266135,1.37870018,1.06479363,1.130315092,1.068574064,1.160825489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject07,1.46179696,1.569459167,1.703858121,1.509907966,1.727524535,1.490008412,1.60366778,1.65825416,1.605376093,1.539370492,1.674126924,2.102987604,1.840948767,1.803097519,2.007937467,1.72139056,1.663999399,1.909021658,1.930566718,1.985295751,1.580903775,1.596537014,1.524996344,1.616677777,1.89708229,2.047589036,2.041329636,2.120907702,1.954720178,1.873084261,1.916792813,1.701999712,1.765513359,1.675870815,1.491967233,1.220564592,1.747329312,1.692560262,1.888633226,1.805602089,1.676614188,1.812013826,1.508417316,1.497734005,1.555028671,1.511886848,1.554005326,1.535256259,1.131104117,1.328281558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject08,1.550842962,1.479381711,1.267534982,1.221327692,1.476541669,1.478491474,1.252326532,1.290650343,1.266354098,1.043774217,1.108385758,1.388297338,1.356860005,1.103885871,1.312255359,1.385611711,1.352559678,1.318174174,1.189780024,1.41080937,1.425106244,1.433480029,1.121583284,1.222795898,1.139848409,1.477979377,1.336661013,1.423521609,1.62370651,1.701343211,1.750942505,1.753830884,1.534554384,1.584975138,1.689715894,1.806961198,1.330794863,1.294409687,1.604367744,1.453632971,1.225148957,1.306820623,1.201988627,1.163260163,1.293530686,1.260963475,1.082068416,1.156312876,0.994320579,1.081544915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject09,1.585611668,1.45400323,1.599980444,1.289494922,1.720642941,1.365377509,1.331176814,1.56094988,1.462268767,1.512900049,1.372109959,1.918864283,1.592080337,1.79644391,1.7872239,1.627849694,1.33915545,1.736187878,1.77108127,1.787985153,1.460952977,1.503310504,1.360925479,1.503955888,1.746134485,1.912609622,1.650220031,1.740447466,1.868332971,1.953856351,1.697934523,1.343888756,1.573516073,1.366356025,1.507220076,0.952226477,1.646433465,1.463303171,1.625210757,1.470977497,1.357476855,1.354728552,1.287795611,1.326761481,1.453696662,1.500314798,1.404140568,1.386517548,1.100555973,1.195521112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject10,1.293749392,1.238475386,1.494870352,1.245137453,1.386133946,1.295005875,1.434920042,1.247050952,1.204627684,1.270211994,1.25595267,1.713687359,1.561860234,1.490561879,1.673099883,1.261192159,1.191381252,1.548449899,1.617459238,1.751283387,1.421877855,1.375859552,1.192537143,1.230139238,1.473554514,1.627437416,1.450255924,1.501598344,1.67434117,1.717270632,1.544458848,1.315894931,1.2867281,1.17628609,0.981432341,0.806957942,1.270118035,1.301049289,1.416095201,1.215842333,1.364044092,1.319350248,1.20530155,1.181200126,1.368217631,1.328800905,1.339013691,1.339002929,1.133133376,1.156844786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
