,group_NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNP22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
